Text,Bounding_Boxes
oed,"[[1406.6699 1474.5781]
 [1445.4746 1474.5781]
 [1445.4746 1489.1299]
 [1406.6699 1489.1299]]"
unan,"[[2090.6025 1474.5781]
 [2143.959  1474.5781]
 [2143.959  1489.1299]
 [2090.6025 1489.1299]]"
cetnuaon,"[[3448.7666 1479.4287]
 [3579.7324 1479.4287]
 [3579.7324 1498.831 ]
 [3448.7666 1498.831 ]]"
raniwlter,"[[ 955.5654 1493.9805]
 [1062.2783 1493.9805]
 [1062.2783 1513.3828]
 [ 955.5654 1513.3828]]"
lsafr,"[[1309.6582 1493.9805]
 [1372.7158 1493.9805]
 [1372.7158 1513.3828]
 [1309.6582 1513.3828]]"
freator,"[[1372.7158 1493.9805]
 [1460.0264 1493.9805]
 [1460.0264 1513.3828]
 [1372.7158 1513.3828]]"
allmlcr,"[[2143.959  1493.9805]
 [2221.5684 1493.9805]
 [2221.5684 1508.5322]
 [2143.959  1508.5322]]"
beloi,"[[ 727.5879  1498.831  ]
 [ 776.09375 1498.831  ]
 [ 776.09375 1513.3828 ]
 [ 727.5879  1513.3828 ]]"
ofourd,"[[ 800.3467 1498.831 ]
 [ 868.2549 1498.831 ]
 [ 868.2549 1513.3828]
 [ 800.3467 1513.3828]]"
ogool,"[[ 882.80664 1498.831  ]
 [ 945.86426 1498.831  ]
 [ 945.86426 1513.3828 ]
 [ 882.80664 1513.3828 ]]"
docopfel,"[[2342.833  1508.5322]
 [2459.247  1508.5322]
 [2459.247  1527.9346]
 [2342.833  1527.9346]]"
alei,"[[2488.3506 1508.5322]
 [2522.3047 1508.5322]
 [2522.3047 1527.9346]
 [2488.3506 1527.9346]]"
stlen,"[[ 727.5879 1518.2334]
 [ 785.7949 1518.2334]
 [ 785.7949 1537.6357]
 [ 727.5879 1537.6357]]"
tane,"[[ 824.5996 1518.2334]
 [ 868.2549 1518.2334]
 [ 868.2549 1532.7852]
 [ 824.5996 1532.7852]]"
taette,"[[1372.7158 1518.2334]
 [1445.4746 1518.2334]
 [1445.4746 1532.7852]
 [1372.7158 1532.7852]]"
soeftd,"[[2347.6836 1532.7852]
 [2434.9941 1532.7852]
 [2434.9941 1547.3369]
 [2347.6836 1547.3369]]"
lir,"[[2434.9941 1532.7852]
 [2473.7988 1532.7852]
 [2473.7988 1547.3369]
 [2434.9941 1547.3369]]"
fefer,"[[ 727.5879  1537.6357 ]
 [ 780.94434 1537.6357 ]
 [ 780.94434 1557.0381 ]
 [ 727.5879  1557.0381 ]]"
staucturll,"[[ 829.4502 1537.6357]
 [ 941.0137 1537.6357]
 [ 941.0137 1557.0381]
 [ 829.4502 1557.0381]]"
enolneers,"[[ 950.71484 1537.6357 ]
 [1047.7266  1537.6357 ]
 [1047.7266  1557.0381 ]
 [ 950.71484 1557.0381 ]]"
,"[[3812.5605 1537.6357]
 [3831.963  1537.6357]
 [3831.963  1639.498 ]
 [3812.5605 1639.498 ]]"
ing,"[[2391.3389 1552.1875]
 [2425.293  1552.1875]
 [2425.293  1571.5898]
 [2391.3389 1571.5898]]"
lit,"[[2808.4893 1552.1875]
 [2837.5928 1552.1875]
 [2837.5928 1571.5898]
 [2808.4893 1571.5898]]"
coodp,"[[2066.3496 1557.0381]
 [2124.5566 1557.0381]
 [2124.5566 1576.4404]
 [2066.3496 1576.4404]]"
ffa,"[[2177.913  1557.0381]
 [2216.7178 1557.0381]
 [2216.7178 1576.4404]
 [2177.913  1576.4404]]"
draess,"[[ 727.5879 1561.8887]
 [ 819.749  1561.8887]
 [ 819.749  1576.4404]
 [ 727.5879 1576.4404]]"
flor,"[[ 829.4502 1561.8887]
 [ 868.2549 1561.8887]
 [ 868.2549 1576.4404]
 [ 829.4502 1576.4404]]"
tae,"[[ 873.10547 1561.8887 ]
 [ 926.4619  1561.8887 ]
 [ 926.4619  1576.4404 ]
 [ 873.10547 1576.4404 ]]"
tmle,"[[ 960.416  1561.8887]
 [1008.9219 1561.8887]
 [1008.9219 1576.4404]
 [ 960.416  1576.4404]]"
oposs,"[[1852.9238 1566.7393]
 [1911.1309 1566.7393]
 [1911.1309 1581.291 ]
 [1852.9238 1581.291 ]]"
lontinlllioe,"[[2342.833  1571.5898]
 [2473.7988 1571.5898]
 [2473.7988 1590.9922]
 [2342.833  1590.9922]]"
cifil,"[[2158.5107 1576.4404]
 [2197.3154 1576.4404]
 [2197.3154 1595.8428]
 [2158.5107 1595.8428]]"
magcoraaclk,"[[4273.366  1595.8428]
 [4423.7344 1595.8428]
 [4423.7344 1615.2451]
 [4273.366  1615.2451]]"
assacates,"[[4433.4355 1595.8428]
 [4574.1025 1595.8428]
 [4574.1025 1615.2451]
 [4433.4355 1615.2451]]"
consliltats,"[[4583.8037 1595.8428]
 [4739.0225 1595.8428]
 [4739.0225 1615.2451]
 [4583.8037 1615.2451]]"
ptul,"[[4753.574  1595.8428]
 [4792.379  1595.8428]
 [4792.379  1615.2451]
 [4753.574  1615.2451]]"
orawin,"[[2056.6484 1600.6934]
 [2129.4072 1600.6934]
 [2129.4072 1615.2451]
 [2056.6484 1615.2451]]"
foe,"[[2158.5107 1600.6934]
 [2197.3154 1600.6934]
 [2197.3154 1615.2451]
 [2158.5107 1615.2451]]"
hupece,"[[ 916.76074 1610.3945 ]
 [ 979.81836 1610.3945 ]
 [ 979.81836 1629.7969 ]
 [ 916.76074 1629.7969 ]]"
ealeo,"[[1038.0254 1610.3945]
 [1101.083  1610.3945]
 [1101.083  1634.6475]
 [1038.0254 1634.6475]]"
eleus,"[[1678.3027 1610.3945]
 [1741.3604 1610.3945]
 [1741.3604 1629.7969]
 [1678.3027 1629.7969]]"
tedaoo,"[[1746.2109 1610.3945]
 [1814.1191 1610.3945]
 [1814.1191 1629.7969]
 [1746.2109 1629.7969]]"
ilnd,"[[1814.1191 1610.3945]
 [1906.2803 1610.3945]
 [1906.2803 1629.7969]
 [1814.1191 1629.7969]]"
crve,"[[1013.77246 1615.2451 ]
 [1062.2783  1615.2451 ]
 [1062.2783  1654.0498 ]
 [1013.77246 1654.0498 ]]"
etiaeewer,"[[1270.8535 1620.0957]
 [1372.7158 1620.0957]
 [1372.7158 1639.498 ]
 [1270.8535 1639.498 ]]"
lbc,"[[1508.5322 1620.0957]
 [1547.3369 1620.0957]
 [1547.3369 1639.498 ]
 [1508.5322 1639.498 ]]"
sd,"[[4273.366  1620.0957]
 [4312.171  1620.0957]
 [4312.171  1634.6475]
 [4273.366  1634.6475]]"
tteee,"[[4312.171  1620.0957]
 [4394.631  1620.0957]
 [4394.631  1634.6475]
 [4312.171  1634.6475]]"
grurd,"[[1406.6699 1624.9463]
 [1479.4287 1624.9463]
 [1479.4287 1639.498 ]
 [1406.6699 1639.498 ]]"
tanr,"[[2517.454  1624.9463]
 [2561.1094 1624.9463]
 [2561.1094 1639.498 ]
 [2517.454  1639.498 ]]"
sefer,"[[ 916.76074 1634.6475 ]
 [ 970.1172  1634.6475 ]
 [ 970.1172  1654.0498 ]
 [ 916.76074 1654.0498 ]]"
e,"[[1697.7051 1639.498 ]
 [1741.3604 1639.498 ]
 [1741.3604 1668.6016]
 [1697.7051 1668.6016]]"
s,"[[3812.5605 1649.1992]
 [3831.963  1649.1992]
 [3831.963  1712.2568]
 [3812.5605 1712.2568]]"
oralnes,"[[ 911.91016 1654.0498 ]
 [1008.9219  1654.0498 ]
 [1008.9219  1673.4521 ]
 [ 911.91016 1673.4521 ]]"
for,"[[1018.62305 1654.0498 ]
 [1057.4277  1654.0498 ]
 [1057.4277  1678.3027 ]
 [1018.62305 1678.3027 ]]"
lootop,"[[2764.834  1658.9004]
 [2832.7422 1658.9004]
 [2832.7422 1678.3027]
 [2764.834  1678.3027]]"
dotes,"[[2352.5342 1663.751 ]
 [2420.4424 1663.751 ]
 [2420.4424 1688.0039]
 [2352.5342 1688.0039]]"
gechanile,"[[4273.366  1663.751 ]
 [4370.378  1663.751 ]
 [4370.378  1683.1533]
 [4273.366  1683.1533]]"
trile,"[[4438.286  1663.751 ]
 [4491.6426 1663.751 ]
 [4491.6426 1683.1533]
 [4438.286  1683.1533]]"
htlhaulic,"[[4515.8955 1663.751 ]
 [4617.758  1663.751 ]
 [4617.758  1683.1533]
 [4515.8955 1683.1533]]"
flke,"[[4671.1143 1663.751 ]
 [4709.919  1663.751 ]
 [4709.919  1683.1533]
 [4671.1143 1683.1533]]"
gehales,"[[4719.62   1668.6016]
 [4806.9307 1668.6016]
 [4806.9307 1683.1533]
 [4719.62   1683.1533]]"
ontinlltion,"[[ 916.76074 1673.4521 ]
 [1042.876   1673.4521 ]
 [1042.876   1692.8545 ]
 [ 916.76074 1692.8545 ]]"
erooe,"[[3477.87   1683.1533]
 [3540.9277 1683.1533]
 [3540.9277 1702.5557]
 [3477.87   1702.5557]]"
eale,"[[3599.1348 1683.1533]
 [3657.3418 1683.1533]
 [3657.3418 1702.5557]
 [3599.1348 1702.5557]]"
consul,"[[4273.366  1688.0039]
 [4341.2744 1688.0039]
 [4341.2744 1707.4062]
 [4273.366  1707.4062]]"
ting,"[[4341.2744 1688.0039]
 [4380.079  1688.0039]
 [4380.079  1707.4062]
 [4341.2744 1707.4062]]"
eholieeres,"[[4389.7803 1688.0039]
 [4486.792  1688.0039]
 [4486.792  1707.4062]
 [4389.7803 1707.4062]]"
aal,"[[4496.493  1688.0039]
 [4530.4473 1688.0039]
 [4530.4473 1702.5557]
 [4496.493  1702.5557]]"
riest,"[[4554.7    1688.0039]
 [4617.758  1688.0039]
 [4617.758  1707.4062]
 [4554.7    1707.4062]]"
anrgeres,"[[4632.3096 1688.0039]
 [4729.3213 1688.0039]
 [4729.3213 1707.4062]
 [4632.3096 1707.4062]]"
cohle,"[[1256.3018 1697.7051]
 [1329.0605 1697.7051]
 [1329.0605 1717.1074]
 [1256.3018 1717.1074]]"
ille,"[[1333.9111 1697.7051]
 [1392.1182 1697.7051]
 [1392.1182 1721.958 ]
 [1333.9111 1721.958 ]]"
hefer,"[[3477.87   1702.5557]
 [3531.2266 1702.5557]
 [3531.2266 1721.958 ]
 [3477.87   1721.958 ]]"
ciyl,"[[3574.8818 1702.5557]
 [3618.537  1702.5557]
 [3618.537  1721.958 ]
 [3574.8818 1721.958 ]]"
dralalings,"[[3628.2383 1702.5557]
 [3720.3994 1702.5557]
 [3720.3994 1721.958 ]
 [3628.2383 1721.958 ]]"
bocooe,"[[2915.2021 1707.4062]
 [2978.2598 1707.4062]
 [2978.2598 1721.958 ]
 [2915.2021 1721.958 ]]"
frn,"[[3036.4668 1707.4062]
 [3070.421  1707.4062]
 [3070.421  1721.958 ]
 [3036.4668 1721.958 ]]"
iobnss,"[[2017.8438 1717.1074]
 [2080.9014 1717.1074]
 [2080.9014 1736.5098]
 [2017.8438 1736.5098]]"
fta,"[[2090.6025 1717.1074]
 [2129.4072 1717.1074]
 [2129.4072 1731.6592]
 [2090.6025 1731.6592]]"
iooiss,"[[1411.5205 1721.958 ]
 [1474.5781 1721.958 ]
 [1474.5781 1741.3604]
 [1411.5205 1741.3604]]"
foa,"[[3473.0195 1721.958 ]
 [3511.8242 1721.958 ]
 [3511.8242 1741.3604]
 [3473.0195 1741.3604]]"
s,"[[3812.5605 1721.958 ]
 [3831.963  1721.958 ]
 [3831.963  1804.418 ]
 [3812.5605 1804.418 ]]"
fefee,"[[2915.2021 1726.8086]
 [2968.5586 1726.8086]
 [2968.5586 1746.2109]
 [2915.2021 1746.2109]]"
cpil,"[[3012.2139 1726.8086]
 [3060.7197 1726.8086]
 [3060.7197 1751.0615]
 [3012.2139 1751.0615]]"
urt,"[[3521.5254 1726.8086]
 [3565.1807 1726.8086]
 [3565.1807 1741.3604]
 [3521.5254 1741.3604]]"
siat,"[[3570.0312 1726.8086]
 [3623.3877 1726.8086]
 [3623.3877 1741.3604]
 [3570.0312 1741.3604]]"
lean,"[[2915.2021 1746.2109]
 [2968.5586 1746.2109]
 [2968.5586 1765.6133]
 [2915.2021 1765.6133]]"
fle,"[[3017.0645 1746.2109]
 [3051.0186 1746.2109]
 [3051.0186 1765.6133]
 [3017.0645 1765.6133]]"
toootg,"[[3477.87   1746.2109]
 [3545.7783 1746.2109]
 [3545.7783 1760.7627]
 [3477.87   1760.7627]]"
fluors,"[[4307.545  1744.42  ]
 [4367.2446 1751.8824]
 [4364.931  1770.3893]
 [4305.2314 1762.9269]]"
etc,"[[4380.079  1746.2109]
 [4414.033  1746.2109]
 [4414.033  1765.6133]
 [4380.079  1765.6133]]"
hoh,"[[4423.7344 1746.2109]
 [4462.539  1746.2109]
 [4462.539  1765.6133]
 [4423.7344 1765.6133]]"
10,"[[4554.7    1746.2109]
 [4588.6543 1746.2109]
 [4588.6543 1765.6133]
 [4554.7    1765.6133]]"
ss,"[[2968.5586 1751.0615]
 [3007.3633 1751.0615]
 [3007.3633 1765.6133]
 [2968.5586 1765.6133]]"
icoass,"[[1717.1074 1765.6133]
 [1785.0156 1765.6133]
 [1785.0156 1785.0156]
 [1717.1074 1785.0156]]"
flk,"[[3497.2725 1765.6133]
 [3531.2266 1765.6133]
 [3531.2266 1785.0156]
 [3497.2725 1785.0156]]"
livil,"[[3574.8818 1765.6133]
 [3623.3877 1765.6133]
 [3623.3877 1789.8662]
 [3574.8818 1789.8662]]"
drawinges,"[[3628.2383 1765.6133]
 [3725.25   1765.6133]
 [3725.25   1785.0156]
 [3628.2383 1785.0156]]"
conit,"[[2915.2021 1770.4639]
 [2958.8574 1770.4639]
 [2958.8574 1785.0156]
 [2915.2021 1785.0156]]"
loto,"[[2958.8574 1770.4639]
 [3046.168  1770.4639]
 [3046.168  1785.0156]
 [2958.8574 1785.0156]]"
edj,"[[4375.2285 1770.4639]
 [4409.1826 1770.4639]
 [4409.1826 1789.8662]
 [4375.2285 1789.8662]]"
ses,"[[4418.884  1770.4639]
 [4467.3896 1770.4639]
 [4467.3896 1794.7168]
 [4418.884  1794.7168]]"
s,"[[4472.24   1770.4639]
 [4511.045  1770.4639]
 [4511.045  1789.8662]
 [4472.24   1789.8662]]"
iosto,"[[ 858.5537 1775.3145]
 [ 926.4619 1775.3145]
 [ 926.4619 1794.7168]
 [ 858.5537 1794.7168]]"
jealei,"[[ 979.81836 1775.3145 ]
 [1042.876   1775.3145 ]
 [1042.876   1794.7168 ]
 [ 979.81836 1794.7168 ]]"
ghepneng,"[[4283.0674 1775.3145]
 [4365.5273 1775.3145]
 [4365.5273 1789.8662]
 [4283.0674 1789.8662]]"
conthuati,"[[3521.5254 1785.0156]
 [3623.3877 1785.0156]
 [3623.3877 1804.418 ]
 [3521.5254 1804.418 ]]"
ves,"[[3477.87   1789.8662]
 [3516.6748 1789.8662]
 [3516.6748 1818.9697]
 [3477.87   1818.9697]]"
